Net Status Report
Filename     : C:\Users\eliow\OneDrive\Dokumente\GitHub\CHESS_OBC\CHESSOBC_rev1\CHESSOBC_rev1.PcbDoc
Date         : 15/07/2021
Time         : 19:44:41
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetJ2_7, Signal Layers Only, 1.4872mm
    NetJ2_8, Signal Layers Only, 1.4872mm
    NetJ3_1, Signal Layers Only, 0mm
    NetJ3_10, Signal Layers Only, 0mm
    NetJ3_2, Signal Layers Only, 0mm
    NetJ3_3, Signal Layers Only, 0mm
    NetJ3_4, Signal Layers Only, 0mm
    NetJ3_5, Signal Layers Only, 0mm
    NetJ3_8, Signal Layers Only, 0mm
    NetJ3_9, Signal Layers Only, 0mm
    NetJ_ICSP1_1, Signal Layers Only, 2.0972mm
    NetJ_ICSP1_4, Signal Layers Only, 0mm
    NetJ_ICSP1_5, Signal Layers Only, 0mm
    NetL3_1, Signal Layers Only, 0mm
    NetLED1_1, Signal Layers Only, 0mm
    NetLED2_1, Signal Layers Only, 0mm
    NetLED_FPGA_1_1, Signal Layers Only, 1.3638mm
    NetLED_FPGA_1_2, Signal Layers Only, 1.4872mm
    NetLED_FPGA_2_1, Signal Layers Only, 1.2292mm
    NetLED_FPGA_2_2, Signal Layers Only, 4.7721mm
    NetLED_FPGA_3_1, Signal Layers Only, 1.3168mm
    NetLED_FPGA_3_2, Signal Layers Only, 1.4872mm
    NetPIC1_11, Signal Layers Only, 1.4872mm
    NetPIC1_12, Signal Layers Only, 1.4872mm
    NetPIC1_2, Signal Layers Only, 1.4872mm
    NetPIC1_3, Signal Layers Only, 1.4872mm
    NetPIC1_4, Signal Layers Only, 1.4872mm
    NetPIC1_5, Signal Layers Only, 1.4872mm
    NetPIC1_6, Signal Layers Only, 1.4872mm
    NetP_GPIO_1, Signal Layers Only, 1.4872mm
    NetP_GPIO_10, Signal Layers Only, 0mm
    NetP_GPIO_11, Signal Layers Only, 1.4872mm
    NetP_GPIO_12, Signal Layers Only, 1.4872mm
    NetP_GPIO_13, Signal Layers Only, 1.4872mm
    NetP_GPIO_14, Signal Layers Only, 0mm
    NetP_GPIO_15, Signal Layers Only, 1.4872mm
    NetP_GPIO_16, Signal Layers Only, 1.4872mm
    NetP_GPIO_17, Signal Layers Only, 1.4872mm
    NetP_GPIO_18, Signal Layers Only, 1.5161mm
    NetP_GPIO_19, Signal Layers Only, 1.4872mm
    NetP_GPIO_2, Signal Layers Only, 2.5045mm
    NetP_GPIO_20, Signal Layers Only, 0mm
    NetP_GPIO_21, Signal Layers Only, 1.4872mm
    NetP_GPIO_22, Signal Layers Only, 1.4872mm
    NetP_GPIO_23, Signal Layers Only, 1.4872mm
    NetP_GPIO_24, Signal Layers Only, 1.4872mm
    NetP_GPIO_25, Signal Layers Only, 1.4872mm
    NetP_GPIO_26, Signal Layers Only, 1.4872mm
    NetP_GPIO_27, Signal Layers Only, 1.4872mm
    NetP_GPIO_28, Signal Layers Only, 0mm
    NetP_GPIO_29, Signal Layers Only, 1.4872mm
    NetP_GPIO_3, Signal Layers Only, 1.4872mm
    NetP_GPIO_30, Signal Layers Only, 1.519mm
    NetP_GPIO_31, Signal Layers Only, 1.4872mm
    NetP_GPIO_32, Signal Layers Only, 1.474mm
    NetP_GPIO_33, Signal Layers Only, 1.4872mm
    NetP_GPIO_34, Signal Layers Only, 1.4872mm
    NetP_GPIO_35, Signal Layers Only, 1.4872mm
    NetP_GPIO_36, Signal Layers Only, 1.4872mm
    NetP_GPIO_37, Signal Layers Only, 1.4872mm
    NetP_GPIO_38, Signal Layers Only, 1.4872mm
    NetP_GPIO_39, Signal Layers Only, 1.4872mm
    NetP_GPIO_4, Signal Layers Only, 1.4872mm
    NetP_GPIO_40, Signal Layers Only, 1.4872mm
    NetP_GPIO_5, Signal Layers Only, 1.4872mm
    NetP_GPIO_6, Signal Layers Only, 1.4604mm
    NetP_GPIO_7, Signal Layers Only, 1.4872mm
    NetP_GPIO_8, Signal Layers Only, 1.5662mm
    NetP_GPIO_9, Signal Layers Only, 1.4872mm
    NetR14_2, Signal Layers Only, 0mm
    NetR15_2, Signal Layers Only, 0mm
    NetR16_2, Signal Layers Only, 0mm
    NetSRAM1_A1, Signal Layers Only, 4.5847mm
    NetSRAM1_A2, Signal Layers Only, 4.7593mm
    NetSRAM1_A3, Signal Layers Only, 4.7592mm
    NetSRAM1_A4, Signal Layers Only, 4.7592mm
    NetSRAM1_A5, Signal Layers Only, 4.7593mm
    NetSRAM1_A6, Signal Layers Only, 4.6893mm
    NetSRAM1_B1, Signal Layers Only, 4.5847mm
    NetSRAM1_B2, Signal Layers Only, 4.1822mm
    NetSRAM1_B3, Signal Layers Only, 5.6659mm
    NetSRAM1_B4, Signal Layers Only, 5.6716mm
    NetSRAM1_B5, Signal Layers Only, 5.5984mm
    NetSRAM1_B6, Signal Layers Only, 4.6893mm
    NetSRAM1_C1, Signal Layers Only, 4.5847mm
    NetSRAM1_C2, Signal Layers Only, 5.4969mm
    NetSRAM1_C3, Signal Layers Only, 7.5282mm
    NetSRAM1_C4, Signal Layers Only, 7.3163mm
    NetSRAM1_C5, Signal Layers Only, 5.6041mm
    NetSRAM1_C6, Signal Layers Only, 4.6893mm
    NetSRAM1_D2, Signal Layers Only, 5.4836mm
